Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Activity,Stage
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,15/07/2019 01:55:21 PM,119998944,242,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0250178201568176,495863.4049586777,245730.9966203413,1000221.0,52.0,118998863.0,493771.21576763474,244072.96440609358,1000221.0,52.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2.016684413489505,0.008333406667312006,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,242,0,1,0,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,Benign
192.168.3.10-239.2.11.71-53569-8662-17,192.168.3.10,53569,239.2.11.71,8662,17,15/07/2019 01:55:22 PM,109235816,21,1,1072.0,52.0,56.0,48.0,51.047619047619044,2.499523764163696,52.0,52.0,52.0,0.0,10.28966543354242,0.20139914549638188,5201705.523809523,8027817.906700122,20019201.0,2.0,89999523.0,4499976.15,7546693.521196512,20019201.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,168,8,0.19224463888291002,0.009154506613471905,48.0,56.0,51.1304347826087,2.3989457500040405,5.754940711462448,0,0,0,0,0,0,0,0,0.0,53.45454545454545,51.047619047619044,52.0,0,0,0,0,0,0,21,1072,1,52,-1,-1,21,0,819535.5,78517.84408973543,875056.0,764015.0,15175318.571428573,6349189.18374354,20019201.0,5202524.0,Normal,Benign
255.255.255.255-0.0.0.0-67-68-17,0.0.0.0,68,255.255.255.255,67,17,15/07/2019 01:55:22 PM,119764062,88,1,25515.0,289.0,296.0,288.0,289.94318181818187,2.422869745909312,289.0,289.0,289.0,0.0,215.45695402348665,0.7431277673263955,1360955.25,1078681.5615681321,3310060.0,136476.0,119215690.0,1370295.2873563215,1081349.8733771762,3310060.0,136476.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,704,8,0.7347780171317169,0.008349750194678601,288.0,296.0,289.92222222222233,2.3995682091809503,5.757927590511872,0,0,0,0,0,0,0,0,0.0,293.17977528089887,289.9431818181818,289.0,0,0,0,0,0,0,88,25515,1,289,-1,-1,88,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,Benign
192.168.3.30-192.168.3.31-40504-9200-6,192.168.3.30,40504,192.168.3.31,9200,6,15/07/2019 01:55:23 PM,117030424,18,17,23499.0,3736.0,4096.0,0.0,1305.5000000000002,1551.6162825374365,929.0,0.0,219.7647058823529,254.16813564345662,232.71726333316545,0.2990675313626139,3442071.2941176468,8754853.569364924,34978598.0,34.0,117022552.0,6883679.529411765,11528897.490825148,34978598.0,268.0,117030383.0,7314398.937499999,11767030.01848915,34979324.0,34.0,0,1,0,0,576,544,0.15380615898648714,0.14526137237612674,0.0,4096.0,782.3333333333335,1222.2898417081185,1493992.4571428576,0,0,0,1,1,0,0,0,0.0,804.6857142857143,1305.5,219.7647058823529,0,0,0,0,0,0,18,23499,17,3736,-1,2958,10,0,192329.3333333333,436593.12326864095,1083374.0,7236.0,19311305.166666668,11778304.083737494,34978598.0,5147962.0,Normal,Benign
0.87.248.248-3.0.0.0-0-0-0,0.87.248.248,0,3.0.0.0,0,0,15/07/2019 01:55:58 PM,119999703,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02500006187515314,59999851.5,847.8210306426704,60000451.0,59999252.0,59999252.0,59999252.0,0.0,59999252.0,59999252.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.01666670791676876,0.00833335395838438,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,-1,0,0,0.0,0.0,0.0,0.0,59999851.5,847.8210306426704,60000451.0,59999252.0,Normal,Benign
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,15/07/2019 01:57:22 PM,119971005,246,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0588307983249785,487687.0121951222,257273.70996468273,1000232.0,33.0,119634605.0,488304.5102040814,257617.6356402843,1000232.0,33.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2.0504954509633393,0.008335347361639591,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,246,0,1,0,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,Benign
192.168.3.10-239.2.11.71-53569-8662-17,192.168.3.10,53569,239.2.11.71,8662,17,15/07/2019 01:57:22 PM,106058127,28,1,1412.0,52.0,52.0,48.0,50.42857142857142,1.9893898455737529,52.0,52.0,52.0,0.0,13.803751220309596,0.27343496269738954,3787790.25,6527872.975355015,20019219.0,3.0,93770509.0,3472981.814814815,6431985.880291523,20019219.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,224,8,0.2640061708802381,0.009428791817151365,48.0,52.0,50.53333333333334,1.9605300714142435,3.8436781609195383,0,0,0,0,0,0,0,0,0.0,52.27586206896552,50.42857142857143,52.0,0,0,0,0,0,0,28,1412,1,52,-1,-1,28,0,1233875.2,2141256.1367654502,5014157.0,43.0,12486089.375,6333811.80547636,20019219.0,5698597.0,Normal,Benign
255.255.255.255-0.0.0.0-67-68-17,0.0.0.0,68,255.255.255.255,67,17,15/07/2019 01:57:23 PM,119169277,87,1,25225.0,289.0,296.0,288.0,289.94252873563215,2.44167461519553,289.0,289.0,289.0,0.0,214.09880669159386,0.7384453628933236,1369761.804597701,1105374.50463282,3301511.0,34012.0,116166720.0,1350775.813953488,1097496.188003033,3301511.0,34012.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,696,8,0.7300539383149904,0.008391424578333223,288.0,296.0,289.9213483146068,2.4178536645561035,5.846016343207379,0,0,0,0,0,0,0,0,0.0,293.21590909090907,289.94252873563215,289.0,0,0,0,0,0,0,87,25225,1,289,-1,-1,87,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,Benign
192.168.3.30-192.168.3.31-40504-9200-6,192.168.3.30,40504,192.168.3.31,9200,6,15/07/2019 01:57:55 PM,85023886,7,9,6088.0,3343.0,2030.0,0.0,869.7142857142858,1084.7243450581832,2010.0,0.0,371.4444444444445,636.6498470727671,110.92177085389862,0.18818241264578284,5668259.066666667,11926234.25054824,34978311.0,32.0,85014830.0,14169138.333333336,15928850.642402075,34978311.0,6022.0,85023851.0,10627981.374999998,14974879.388727736,34978950.0,878.0,0,1,0,0,224,288,0.08232980553253,0.10585260711325284,0.0,2030.0,673.0000000000001,907.5796108331214,823700.7500000001,0,0,0,1,1,0,0,0,1.0,715.0625,869.7142857142858,371.4444444444445,0,0,0,0,0,0,7,6088,9,3343,-1,2958,3,0,13613.333333333336,10629.857258370565,25762.0,6022.0,28324405.33333333,5762451.368977819,34978311.0,24996892.0,Normal,Benign
192.168.3.30-198.143.164.251-40452-443-6,192.168.3.30,40452,198.143.164.251,443,6,15/07/2019 02:01:00 PM,232229,6,9,780.0,9272.0,355.0,0.0,130.0,161.18436648757225,5000.0,0.0,1030.2222222222224,2007.4048406946827,43284.86106386369,64.59141623139229,16587.785714285714,25183.255686081367,59648.0,5.0,119522.0,23904.4,28176.824719971548,54971.0,57.0,232229.0,29028.625,30596.12862035933,61907.0,5.0,0,0,0,0,192,304,25.83656649255692,38.754849738835375,0.0,5000.0,628.25,1542.8490312837914,2380383.1333333342,0,1,0,0,0,0,0,0,1.0,670.1333333333333,130.0,1030.2222222222224,0,0,0,0,0,0,6,780,9,9272,-1,61,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,Benign
