Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Activity,Stage
0.87.248.248-3.0.0.0-0-0-0,0.87.248.248,0,3.0.0.0,0,0,18/07/2019 11:31:58 AM,119999645,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0250000739586,59999822.5,238.29498526,59999991.0,59999654.0,59999991.0,59999991.0,0.0,59999991.0,59999991.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0166667159724,0.00833335798618,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,-1,0,0,0.0,0.0,0.0,0.0,59999822.5,238.29498526,59999991.0,59999654.0,Normal,Benign
192.168.3.1-192.168.3.30-59591-22-6,192.168.3.30,22,192.168.3.1,59591,6,18/07/2019 11:33:21 AM,119999805,439076,219571,25845736.0,4216.0,1936.0,40.0,58.8639233299,49.826551280699995,56.0,0.0,0.019201078466599998,0.878497954868,215416.616719,5488.73391919,182.191655305,127.837428286,9510.0,7.0,119999502.0,273.300693503,138.814823953,9644.0,51.0,119999725.0,546.5214965609999,202.89867839299998,11553.0,7.0,0,1,0,0,14050432,7026272,3658.9726125,1829.7613067000002,0.0,1936.0,39.2470758281,49.2424838801,2424.82221868,0,0,0,1,1,0,0,0,0.0,39.247135415500004,58.8639233299,0.019201078466599998,0,0,0,0,0,0,439076,25845736,219571,4216,-1,1444,439076,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,Benign
192.168.3.10-239.2.11.71-53569-8662-17,192.168.3.10,53569,239.2.11.71,8662,17,18/07/2019 11:33:22 AM,100030818,22,1,1108.0,52.0,52.0,48.0,50.363636363599994,2.01294511896,52.0,52.0,52.0,0.0,11.5964262134,0.229929140438,4546855.36364,7101534.499969999,20006777.0,2.0,98004570.0,4666884.2857099995,7254004.515,20006777.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,176,8,0.21993222128800002,0.009996919149459998,48.0,52.0,50.5,1.9781414201900003,3.9130434782599997,0,0,0,0,0,0,0,0,0.0,52.6956521739,50.363636363599994,52.0,0,0,0,0,0,0,22,1108,1,52,-1,-1,22,0,1489875.3333299998,1115097.30367,2235410.0,207946.0,13651598.8571,5776164.92527,20006777.0,6328398.0,Normal,Benign
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/07/2019 11:33:21 AM,118783234,244,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0625806500599997,486816.532787,396069.838221,2216708.0,7.0,118177594.0,486327.547325,396813.51059699996,2216708.0,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2.05416195353,0.00841869653086,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,244,0,1,0,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,Benign
192.168.3.30-192.168.3.31-42004-9200-6,192.168.3.30,42004,192.168.3.31,9200,6,18/07/2019 11:33:23 AM,85023456,7,9,6049.0,3362.0,2019.0,0.0,864.142857143,1077.77694485,2017.0,0.0,373.555555556,638.813179089,110.687102627,0.18818336436500002,5668230.4,11930844.8176,35001940.0,8.0,85014206.0,14169034.3333,15938595.1711,35001940.0,6366.0,85023444.0,10627930.5,14981873.3001,35002240.0,330.0,0,1,0,0,224,288,0.0823302219096,0.10585314245500001,0.0,2019.0,672.2352941180001,904.963917058,818959.691176,0,0,0,1,1,0,0,0,1.0,714.25,864.142857143,373.555555556,0,0,0,0,0,0,7,6049,9,3362,-1,2053,3,0,7491.33333333,1542.78881683,9250.0,6366.0,28331495.3333,5776775.5083800005,35001940.0,24992921.0,Normal,Benign
255.255.255.255-0.0.0.0-67-68-17,0.0.0.0,68,255.255.255.255,67,17,18/07/2019 11:33:23 AM,119255106,88,1,25523.0,296.0,296.0,289.0,290.03409090900004,2.49803998402,296.0,296.0,296.0,0.0,216.50226028900002,0.7462992821459999,1355171.65909,1365667.2055600001,5126778.0,33343.0,119161125.0,1369668.10345,1366757.31103,5126778.0,33343.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,704,8,0.737913896953,0.00838538519265,289.0,296.0,290.166666667,2.6233609114900003,6.882022471910001,0,0,0,0,0,0,0,0,0.0,293.42696629200003,290.03409090900004,296.0,0,0,0,0,0,0,88,25523,1,296,-1,-1,88,0,19101456.25,9657390.17694,23930781.0,4615371.0,5113883.75,8612.15119758,5126778.0,5108853.0,Normal,Benign
192.168.3.1-192.168.3.30-59591-22-6,192.168.3.30,22,192.168.3.1,59591,6,18/07/2019 11:35:21 AM,119999917,441206,220625,25672936.0,4176.0,1752.0,40.0,58.1880935436,41.347264583699996,56.0,0.0,0.0189280453258,0.872254653439,213976.08133299998,5515.26214806,181.315318133,127.703390649,16206.0,5.0,119999423.0,271.981104022,139.848193238,18536.0,51.0,119999917.0,543.911437559,203.51484059900002,20370.0,5.0,0,1,0,0,14118592,7060000,3676.71920973,1838.54293833,0.0,1752.0,38.7971086318,43.495885791999996,1891.89208083,0,0,0,1,1,0,0,0,0.0,38.7971672527,58.1880935436,0.0189280453258,0,0,0,0,0,0,441206,25672936,220625,4176,-1,1444,441206,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,Benign
192.168.3.10-239.2.11.71-53569-8662-17,192.168.3.10,53569,239.2.11.71,8662,17,18/07/2019 11:35:22 AM,100023399,23,1,1176.0,52.0,56.0,48.0,51.130434782600005,2.39894575,52.0,52.0,52.0,0.0,12.277127275,0.239943855537,4348843.434780001,7522767.248380001,20006371.0,2.0,80017028.0,3637137.63636,6861635.48809,19898629.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,184,8,0.22994619489,0.00999766064739,48.0,56.0,51.2,2.30940107676,5.33333333333,0,0,0,0,0,0,0,0,0.0,53.3333333333,51.130434782600005,52.0,0,0,0,0,0,0,23,1176,1,52,-1,-1,23,0,1287383.6666700002,2142591.59969,3760743.0,19.0,16026874.6667,5148394.29344,20006371.0,6816617.0,Normal,Benign
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/07/2019 11:35:22 AM,119002516,246,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07558636827,483750.06504099997,390442.58785999997,2216555.0,8.0,118396700.0,483251.836735,391163.48948000005,2216555.0,8.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2.0671831846,0.00840318367723,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,246,0,1,0,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,Benign
255.255.255.255-0.0.0.0-67-68-17,0.0.0.0,68,255.255.255.255,67,17,18/07/2019 11:35:24 AM,116190062,84,1,24360.0,289.0,296.0,289.0,290.0,2.46420152517,289.0,289.0,289.0,0.0,212.143789027,0.731559984881,1383215.02381,1393783.99162,5134056.0,706.0,111060177.0,1338074.42169,1339056.5655,5134056.0,706.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,672,8,0.722953396823,0.00860658805742,289.0,296.0,289.97674418599996,2.43975285241,5.95239398085,0,0,0,0,0,0,0,0,0.0,293.388235294,290.0,289.0,0,0,0,0,0,0,84,24360,1,289,-1,-1,84,0,23916503.0,6643.67887544,23924170.0,23912443.0,5128470.75,6786.85721941,5134056.0,5118627.0,Normal,Benign
