Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Activity,Stage
192.168.3.30-192.168.3.34-8081-49742-6,192.168.3.34,49742,192.168.3.30,8081,6,16/07/2019 11:51:10 AM,30011640,5,7,1939.0,263.0,1939.0,0.0,387.8,867.147161674,263.0,0.0,37.5714285714,99.4046564014,73.3715318456,0.399844860194,2728330.90909,4671718.50826,10240034.0,126.0,20273650.0,5068412.5,5847346.42262,10240207.0,255.0,30011640.0,5001940.0,5477864.22151,10240297.0,291.0,0,0,0,0,160,240,0.166602025081,0.233242835113,0.0,1939.0,169.384615385,536.648944603,287992.089744,0,1,0,0,0,0,0,0,1.0,183.5,387.8,37.5714285714,0,0,0,0,0,0,5,1939,7,263,-1,257,1,0,5596.0,7669.28014875,11019.0,173.0,10131695.0,153214.483134,10240034.0,10023356.0,Normal,Benign
192.168.3.30-192.168.3.34-8081-49744-6,192.168.3.34,49744,192.168.3.30,8081,6,16/07/2019 11:52:10 AM,30012831,5,7,1939.0,263.0,1939.0,0.0,387.8,867.147161674,263.0,0.0,37.5714285714,99.4046564014,73.3686202411,0.39982899314,2728439.18182,4673301.07723,10239830.0,160.0,20426297.0,5106574.25,5890694.80967,10240094.0,252.0,30012831.0,5002138.5,5480423.27618,10240067.0,352.0,0,0,0,0,160,240,0.166595413808,0.233233579331,0.0,1939.0,169.384615385,536.648944603,287992.089744,0,1,0,0,0,0,0,0,1.0,183.5,387.8,37.5714285714,0,0,0,0,0,0,5,1939,7,263,-1,257,1,0,5666.0,7639.58166394,11068.0,264.0,10207882.0,45181.2948907,10239830.0,10175934.0,Normal,Benign
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,16/07/2019 11:50:51 AM,119713840,258,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.16349254188,464007.131783,291863.39006,1000718.0,23.0,119394670.0,464570.700389,292292.192896,1000718.0,23.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2.15513928882,0.00835325305746,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,258,0,1,0,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,Benign
255.255.255.255-0.0.0.0-67-68-17,0.0.0.0,68,255.255.255.255,67,17,16/07/2019 11:50:53 AM,119231325,87,1,25244.0,296.0,300.0,288.0,290.16091954,2.73169835245,296.0,296.0,296.0,0.0,214.205453139,0.738061075812,1370475.0,1000287.9357,4295047.0,91702.0,116228713.0,1351496.66279,990274.386443,4295047.0,91702.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,696,8,0.729674018132,0.00838705767968,288.0,300.0,290.292134831,2.83726119216,8.05005107252,0,0,0,0,0,0,0,0,0.0,293.590909091,290.16091954,296.0,0,0,0,0,0,0,87,25244,1,296,-1,-1,87,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,Benign
0.87.248.248-3.0.0.0-0-0-0,0.87.248.248,0,3.0.0.0,0,0,16/07/2019 11:50:58 AM,60000140,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333332555557,60000140.0,0.0,60000140.0,60000140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0166666277779,0.0166666277779,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0.0,0.0,0.0,0.0,60000140.0,0.0,60000140.0,60000140.0,Normal,Benign
192.168.3.10-239.2.11.71-53569-8662-17,192.168.3.10,53569,239.2.11.71,8662,17,16/07/2019 11:51:09 AM,100028644,28,1,1428.0,52.0,56.0,48.0,51.0,2.34125638952,52.0,52.0,52.0,0.0,14.795761902,0.289916956187,3572451.57143,6181280.80308,20019461.0,5.0,97527191.0,3612118.18519,6295397.44291,20019461.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,224,8,0.279919819767,0.00999713642024,48.0,56.0,51.0666666667,2.27328310862,5.16781609195,0,0,0,0,0,0,0,0,0.0,52.8275862069,51.0,52.0,0,0,0,0,0,0,28,1428,1,52,-1,-1,28,0,2399846.75,2740125.37695,5538879.0,62.0,14325239.0,4729718.52622,20019461.0,8402783.0,Normal,Benign
192.168.3.30-192.168.3.34-8081-49746-6,192.168.3.34,49746,192.168.3.30,8081,6,16/07/2019 11:53:10 AM,30011516,5,7,1939.0,263.0,1939.0,0.0,387.8,867.147161674,263.0,0.0,37.5714285714,99.4046564014,73.3718349983,0.399846512252,2728319.63636,4672075.26209,10240075.0,128.0,20328255.0,5082063.75,5862775.3064,10240305.0,572.0,30011516.0,5001919.33333,5478485.90851,10240330.0,303.0,0,0,0,0,160,240,0.166602713438,0.233243798814,0.0,1939.0,169.384615385,536.648944603,287992.089744,0,1,0,0,0,0,0,0,1.0,183.5,387.8,37.5714285714,0,0,0,0,0,0,5,1939,7,263,-1,257,1,0,5654.5,7671.40146909,11079.0,230.0,10158935.0,114749.288451,10240075.0,10077795.0,Normal,Benign
192.168.3.30-192.168.3.34-8081-49748-6,192.168.3.34,49748,192.168.3.30,8081,6,16/07/2019 11:54:10 AM,30012302,5,7,1939.0,263.0,1939.0,0.0,387.8,867.147161674,263.0,0.0,37.5714285714,99.4046564014,73.3699134442,0.399836040568,2728391.09091,4673696.07159,10240021.0,116.0,20468661.0,5117165.25,5902556.48413,10240260.0,204.0,30012302.0,5002050.33333,5481143.24672,10240239.0,282.0,0,0,0,0,160,240,0.166598350237,0.233237690331,0.0,1939.0,169.384615385,536.648944603,287992.089744,0,1,0,0,0,0,0,0,1.0,183.5,387.8,37.5714285714,0,0,0,0,0,0,5,1939,7,263,-1,257,1,0,5906.0,8014.34825797,11573.0,239.0,10228802.0,15866.0619563,10240021.0,10217583.0,Normal,Benign
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,16/07/2019 11:52:51 AM,119394320,260,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18603364046,459208.923077,269916.949788,1001836.0,24.0,119000662.0,459462.015444,270408.626114,1001836.0,24.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2.17765803264,0.00837560781786,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,260,0,1,0,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,Benign
255.255.255.255-0.0.0.0-67-68-17,0.0.0.0,68,255.255.255.255,67,17,16/07/2019 11:52:53 AM,118411094,87,1,25233.0,288.0,296.0,288.0,290.034482759,2.51714250995,288.0,288.0,288.0,0.0,215.528791584,0.743173608378,1361047.05747,1035392.69346,4364930.0,96559.0,117169940.0,1362441.16279,1041383.2942,4364930.0,96559.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,696,8,0.734728453738,0.00844515464066,288.0,296.0,289.988764045,2.50678344254,6.28396322778,0,0,0,0,0,0,0,0,0.0,293.284090909,290.034482759,288.0,0,0,0,0,0,0,87,25233,1,288,-1,-1,87,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,Benign
